Note,Octave,Frequency
C0,0,16.35
C#0/Db0,0,17.32
D0,0,18.35
D#0/Eb0,0,19.45
E0,0,20.6
F0,0,21.83
F#0/Gb0,0,23.12
G0,0,24.5
G#0/Ab0,0,25.96
A0,0,27.5
A#0/Bb0,0,29.14
B0,0,30.87
C1,1,32.7
C#1/Db1,1,34.65
D1,1,36.71
D#1/Eb1,1,38.89
E1,1,41.2
F1,1,43.65
F#1/Gb1,1,46.25
G1,1,49
G#1/Ab1,1,51.91
A1,1,55
A#1/Bb1,1,58.27
B1,1,61.74
C2,2,65.41
C#2/Db2,2,69.3
D2,2,73.42
D#2/Eb2,2,77.78
E2,2,82.41
F2,2,87.31
F#2/Gb2,2,92.5
G2,2,98
G#2/Ab2,2,103.83
A2,2,110
A#2/Bb2,2,116.54
B2,2,123.47
C3,3,130.81
C#3/Db3,3,138.59
D3,3,146.83
D#3/Eb3,3,155.56
E3,3,164.81
F3,3,174.61
F#3/Gb3,3,185
G3,3,196
G#3/Ab3,3,207.65
A3,3,220
A#3/Bb3,3,233.08
B3,3,246.94
C4,4,261.63
C#4/Db4,4,277.18
D4,4,293.66
D#4/Eb4,4,311.13
E4,4,329.63
F4,4,349.23
F#4/Gb4,4,369.99
G4,4,392
G#4/Ab4,4,415.3
A4,4,440
A#4/Bb4,4,466.16
B4,4,493.88
C5,5,523.25
C#5/Db5,5,554.37
D5,5,587.33
D#5/Eb5,5,622.25
E5,5,659.25
F5,5,698.46
F#5/Gb5,5,739.99
G5,5,783.99
G#5/Ab5,5,830.61
A5,5,880
A#5/Bb5,5,932.33
B5,5,987.77
C6,6,1046.5
C#6/Db6,6,1108.73
D6,6,1174.66
D#6/Eb6,6,1244.51
E6,6,1318.51
F6,6,1396.91
F#6/Gb6,6,1479.98
G6,6,1567.98
G#6/Ab6,6,1661.22
A6,6,1760
A#6/Bb6,6,1864.66
B6,6,1975.53
C7,7,2093
C#7/Db7,7,2217.46
D7,7,2349.32
D#7/Eb7,7,2489.02
E7,7,2637.02
F7,7,2793.83
F#7/Gb7,7,2959.96
G7,7,3135.96
G#7/Ab7,7,3322.44
A7,7,3520
A#7/Bb7,7,3729.31
B7,7,3951.07
C8,8,4186.01
C#8/Db8,8,4434.92
D8,8,4698.63
D#8/Eb8,8,4978.03
E8,8,5274.04
F8,8,5587.65
F#8/Gb8,8,5919.91
G8,8,6271.93
G#8/Ab8,8,6644.88
A8,8,7040
A#8/Bb8,8,7458.62
B8,8,7902.13