Frequency,Index
16.35,0
17.32,1
18.35,2
19.45,3
20.6,4
21.83,5
23.12,6
24.5,7
25.96,8
27.5,9
29.14,10
30.87,11
32.7,12
34.65,13
36.71,14
38.89,15
41.2,16
43.65,17
46.25,18
49,19
51.91,20
55,21
58.27,22
61.74,23
65.41,24
69.3,25
73.42,26
77.78,27
82.41,28
87.31,29
92.5,30
98,31
103.83,32
110,33
116.54,34
123.47,35
130.81,36
138.59,37
146.83,38
155.56,39
164.81,40
174.61,41
185,42
196,43
207.65,44
220,45
233.08,46
246.94,47
261.63,48
277.18,49
293.66,50
311.13,51
329.63,52
349.23,53
369.99,54
392,55
415.3,56
440,57
466.16,58
493.88,59
523.25,60
554.37,61
587.33,62
622.25,63
659.25,64
698.46,65
739.99,66
783.99,67
830.61,68
880,69
932.33,70
987.77,71
1046.5,72
1108.73,73
1174.66,74
1244.51,75
1318.51,76
1396.91,77
1479.98,78
1567.98,79
1661.22,80
1760,81
1864.66,82
1975.53,83
2093,84
2217.46,85
2349.32,86
2489.02,87
2637.02,88
2793.83,89
2959.96,90
3135.96,91
3322.44,92
3520,93
3729.31,94
3951.07,95
4186.01,96
4434.92,97
4698.63,98
4978.03,99
5274.04,100
5587.65,101
5919.91,102
6271.93,103
6644.88,104
7040,105
7458.62,106
7902.13,107